Pixel_01;Pixel_02;Pixel_03;Pixel_04;Pixel_05;Pixel_06;Pixel_07;Pixel_08;Pixel_09;Pixel_10;Pixel_11;Pixel_12;Pixel_13;Pixel_14;Pixel_15;Pixel_16;Pixel_17;Pixel_18;Pixel_19;Pixel_20;Pixel_21;Pixel_22;Pixel_23;Pixel_24;Pixel_25;Pixel_26;Pixel_27;Pixel_28;Numeros
-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;1;1;1;0
1;1;1;1;-1;-1;-1;1;-1;-1;-1;1;1;1;1;1;1;-1;-1;-1;1;-1;-1;-1;1;1;1;1;1
1;1;1;1;-1;-1;-1;1;-1;-1;-1;1;1;1;1;1;-1;-1;-1;1;-1;-1;-1;1;1;1;1;1;2
1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;1;1;1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;3
1;1;1;1;1;-1;-1;-1;1;-1;-1;-1;1;1;1;1;-1;-1;-1;1;-1;-1;-1;1;1;1;1;1;4
1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;1;1;1;1;-1;-1;1;1;-1;-1;1;1;1;1;1;5
1;1;1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;6
1;1;1;1;1;-1;-1;1;1;-1;-1;1;1;1;1;1;1;-1;-1;1;1;-1;-1;1;1;1;1;1;7
1;1;1;1;1;-1;-1;1;1;-1;-1;1;1;1;1;1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;8
1;1;1;1;1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;1;1;1;1;9
